Symbol,CIK,Year,Filing Date,Cosine Distance,Return Date,Return,Return +1,Cosine Similarity,Bins
ALGN,1097149,2018,2019-02-28,0.03441404410772919,2019-02-28,4.0249,-4.3387,0.9655859558922708,1
ALGN,1097149,2019,2020-02-28,0.011047108174009557,2020-02-28,-15.072,9.7926,0.9889528918259904,2
ALGN,1097149,2020,2021-02-26,0.013076667370648387,2021-02-26,7.9428,-20.3343,0.9869233326293516,2
ALGN,1097149,2021,2022-02-25,0.017018228664268165,2022-02-28,3.3336,-4.5106,0.9829817713357318,2
ALGN,1097149,2022,2023-02-27,0.055015193155819375,2023-02-28,14.7444,-14.7538,0.9449848068441806,1
ALGN,1097149,2023,2024-02-28,0.05252949616133906,2024-02-29,13.1303,7.9612,0.9474705038386609,1
LNT,352541,2004,2005-03-04,0.017725689977584613,2005-03-31,0.1122,-3.6454,0.9822743100224154,2
LNT,352541,2005,2006-03-03,0.009779843879675676,2006-03-31,-4.9245,-0.6628,0.9902201561203243,3
LNT,352541,2006,2007-03-01,0.022119177039194526,2007-03-30,7.1736,2.4706,0.9778808229608055,2
LNT,352541,2007,2008-02-28,0.02804738894742642,2008-02-29,-5.8537,7.1736,0.9719526110525736,1
LNT,352541,2008,2009-02-27,0.013682565571084382,2009-02-27,-19.7711,0.7772,0.9863174344289156,3
LNT,352541,2009,2010-02-26,0.001550617446067326,2010-02-26,1.3782,6.7445,0.9984493825539327,5
LNT,352541,2010,2011-02-28,0.002036786249922984,2011-02-28,5.9742,5.1533,0.997963213750077,4
LNT,352541,2011,2012-02-27,0.0006452997439216901,2012-02-29,0.5898,-1.1427,0.9993547002560783,5
LNT,352541,2012,2013-02-26,0.011477992370964474,2013-02-28,4.0358,1.5948,0.9885220076290355,2
LNT,352541,2013,2014-02-25,0.008564727655402837,2014-02-28,4.388,5.2212,0.9914352723445972,2
LNT,352541,2014,2015-02-25,0.010682439899801444,2015-02-27,-7.3022,4.7382,0.9893175601001986,2
LNT,352541,2015,2016-02-24,0.0017652576470299497,2016-02-29,3.9945,-0.9434,0.99823474235297,4
LNT,352541,2016,2017-02-24,0.0018540348302578114,2017-02-28,4.8606,9.3157,0.9981459651697422,4
LNT,352541,2017,2018-02-23,0.009714528340162287,2018-02-28,-2.7673,0.3293,0.9902854716598377,2
LNT,352541,2018,2019-02-22,0.010582351312869553,2019-02-28,3.1482,5.718,0.9894176486871304,2
LNT,352541,2019,2020-02-21,0.011879230248071249,2020-02-28,-12.1968,2.7469,0.9881207697519288,2
LNT,352541,2020,2021-02-19,0.0032577888003677558,2021-02-26,-5.1182,-7.3484,0.9967422111996322,4
LNT,352541,2021,2022-02-18,0.019605903724081775,2022-02-28,-2.439,17.331,0.9803940962759182,2
LNT,352541,2022,2023-02-24,0.015908432227617064,2023-02-28,-5.1083,6.9863,0.9840915677723829,2
LNT,352541,2023,2024-02-16,0.003923003696710059,2024-02-29,-1.8701,4.1545,0.9960769963032899,3
GOOG,1652044,2016,2017-02-03,0.004396623266844757,2017-02-28,3.0164,6.369,0.9956033767331552,3
GOOG,1652044,2017,2018-02-06,0.0016628443228120515,2018-02-28,-6.6231,0.3397,0.998337155677188,4
GOOG,1652044,2018,2019-02-05,0.0013868259406734085,2019-02-28,0.0586,-6.0494,0.9986131740593266,5
GOOG,1652044,2019,2020-02-04,0.0166266053675177,2020-02-28,-6.5279,4.4685,0.9833733946324823,2
GOOG,1652044,2020,2021-02-03,0.02318218422670315,2021-02-26,10.6465,-13.2388,0.9768178157732968,1
GOOG,1652044,2021,2022-02-02,0.01881915377926424,2022-02-28,-0.1822,2.0085,0.9811808462207358,2
GOOG,1652044,2022,2023-02-03,0.0004774392178802378,2023-02-28,-8.883,2.9695,0.9995225607821198,5
GOOG,1652044,2023,2024-01-31,0.013351621204364061,2024-01-31,0.2935,-8.883,0.9866483787956359,2
MO,764180,2004,2005-03-15,0.004399778512136354,2005-03-31,0.7159,1.708,0.9956002214878636,5
MO,764180,2005,2006-03-10,0.002934410375264984,2006-03-31,-0.3338,-0.6117,0.997065589624735,5
MO,764180,2006,2007-03-01,0.0023964405164529357,2007-03-30,5.2088,3.2458,0.9976035594835471,5
MO,764180,2007,2008-02-28,0.0035295671703761133,2008-02-29,-3.4965,5.2088,0.9964704328296239,4
